INSERT INTO equipo VALUES('0', 'Costa de Marfil', 'A', 'CONCACAF');
INSERT INTO equipo VALUES('3', 'Portugal', 'A', 'CONMEBOL');
INSERT INTO equipo VALUES('4', 'Países Bajos', 'B', 'OFC');
INSERT INTO equipo VALUES('5', 'Venezuela', 'B', 'UEFA');
INSERT INTO equipo VALUES('6', 'Perú', 'B', 'CONCACAF');
INSERT INTO equipo VALUES('7', 'Italia', 'B', 'AFC');
INSERT INTO equipo VALUES('8', 'Estados Unidos', 'C', 'CONMEBOL');
INSERT INTO equipo VALUES('9', 'Chile', 'C', 'AFC');
INSERT INTO equipo VALUES('10', 'España', 'C', 'CONCACAF');
INSERT INTO equipo VALUES('11', 'Irlanda', 'C', 'CONMEBOL');
INSERT INTO equipo VALUES('12', 'Alemania', 'D', 'OFC');
INSERT INTO equipo VALUES('13', 'Paraguay', 'D', 'CONCACAF');
INSERT INTO equipo VALUES('14', 'Argentina', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('15', 'Costa Rica', 'D', 'CONCACAF');
INSERT INTO equipo VALUES('16', 'Bélgica', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('17', 'Egipto', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('18', 'Uruguay', 'E', 'AFC');
INSERT INTO equipo VALUES('19', 'Noruega', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('20', 'Sudáfrica', 'F', 'CAF');
INSERT INTO equipo VALUES('21', 'Suiza', 'F', 'CAF');
INSERT INTO equipo VALUES('22', 'Austria', 'F', 'CONCACAF');
INSERT INTO equipo VALUES('23', 'Panamá', 'F', 'UEFA');
INSERT INTO equipo VALUES('24', 'Costa de Marfil', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('25', 'Nigeria', 'G', 'AFC');
INSERT INTO equipo VALUES('26', 'México', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('27', 'Brasil', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('28', 'Suecia', 'H', 'OFC');
INSERT INTO equipo VALUES('29', 'Hungría', 'H', 'CONCACAF');
INSERT INTO equipo VALUES('30', 'Colombia', 'H', 'CONMEBOL');
INSERT INTO equipo VALUES('31', 'Finlandia', 'H', 'CAF');
INSERT INTO equipo VALUES('0', 'Hungría', 'A', 'AFC');
INSERT INTO equipo VALUES('1', 'Nigeria', 'A', 'CONCACAF');
INSERT INTO equipo VALUES('2', 'España', 'A', 'UEFA');
INSERT INTO equipo VALUES('3', 'Francia', 'A', 'UEFA');
INSERT INTO equipo VALUES('4', 'Sudáfrica', 'B', 'CAF');
INSERT INTO equipo VALUES('5', 'Ucrania', 'B', 'UEFA');
INSERT INTO equipo VALUES('6', 'Canadá', 'B', 'CONCACAF');
INSERT INTO equipo VALUES('7', 'Uruguay', 'B', 'CONMEBOL');
INSERT INTO equipo VALUES('8', 'Irlanda', 'C', 'CONCACAF');
INSERT INTO equipo VALUES('9', 'Austria', 'C', 'CONMEBOL');
INSERT INTO equipo VALUES('10', 'Alemania', 'C', 'CONCACAF');
INSERT INTO equipo VALUES('11', 'Costa de Marfil', 'C', 'UEFA');
INSERT INTO equipo VALUES('12', 'Panamá', 'D', 'CONCACAF');
INSERT INTO equipo VALUES('13', 'Paraguay', 'D', 'CONCACAF');
INSERT INTO equipo VALUES('14', 'Suiza', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('15', 'Colombia', 'D', 'CAF');
INSERT INTO equipo VALUES('16', 'Noruega', 'E', 'AFC');
INSERT INTO equipo VALUES('17', 'Finlandia', 'E', 'UEFA');
INSERT INTO equipo VALUES('18', 'Países Bajos', 'E', 'UEFA');
INSERT INTO equipo VALUES('19', 'México', 'E', 'CAF');
INSERT INTO equipo VALUES('20', 'Costa Rica', 'F', 'AFC');
INSERT INTO equipo VALUES('21', 'Estados Unidos', 'F', 'CONMEBOL');
INSERT INTO equipo VALUES('22', 'Egipto', 'F', 'UEFA');
INSERT INTO equipo VALUES('23', 'Perú', 'F', 'OFC');
INSERT INTO equipo VALUES('24', 'Brasil', 'G', 'CONCACAF');
INSERT INTO equipo VALUES('25', 'Suecia', 'G', 'CONCACAF');
INSERT INTO equipo VALUES('26', 'Portugal', 'G', 'UEFA');
INSERT INTO equipo VALUES('27', 'Italia', 'G', 'CAF');
INSERT INTO equipo VALUES('28', 'Chile', 'H', 'CONCACAF');
INSERT INTO equipo VALUES('29', 'Bélgica', 'H', 'CAF');
INSERT INTO equipo VALUES('30', 'Argentina', 'H', 'AFC');
INSERT INTO equipo VALUES('31', 'Venezuela', 'H', 'CAF');
INSERT INTO equipo VALUES('0', 'España', 'A', 'UEFA');
INSERT INTO equipo VALUES('1', 'Finlandia', 'A', 'CONCACAF');
INSERT INTO equipo VALUES('2', 'Austria', 'A', 'CONMEBOL');
INSERT INTO equipo VALUES('3', 'Chile', 'A', 'OFC');
INSERT INTO equipo VALUES('4', 'Bélgica', 'B', 'OFC');
INSERT INTO equipo VALUES('5', 'Egipto', 'B', 'CONMEBOL');
INSERT INTO equipo VALUES('6', 'Portugal', 'B', 'CONCACAF');
INSERT INTO equipo VALUES('7', 'Panamá', 'B', 'CAF');
INSERT INTO equipo VALUES('8', 'Venezuela', 'C', 'CONCACAF');
INSERT INTO equipo VALUES('9', 'Colombia', 'C', 'OFC');
INSERT INTO equipo VALUES('10', 'Argentina', 'C', 'AFC');
INSERT INTO equipo VALUES('11', 'México', 'C', 'CAF');
INSERT INTO equipo VALUES('12', 'Sudáfrica', 'D', 'CONMEBOL');
INSERT INTO equipo VALUES('13', 'Paraguay', 'D', 'UEFA');
INSERT INTO equipo VALUES('14', 'Francia', 'D', 'CAF');
INSERT INTO equipo VALUES('15', 'Estados Unidos', 'D', 'AFC');
INSERT INTO equipo VALUES('16', 'Suiza', 'E', 'CONMEBOL');
INSERT INTO equipo VALUES('17', 'Ucrania', 'E', 'CONCACAF');
INSERT INTO equipo VALUES('18', 'Hungría', 'E', 'CONMEBOL');
INSERT INTO equipo VALUES('19', 'Costa Rica', 'E', 'CONMEBOL');
INSERT INTO equipo VALUES('20', 'Italia', 'F', 'OFC');
INSERT INTO equipo VALUES('21', 'Costa de Marfil', 'F', 'UEFA');
INSERT INTO equipo VALUES('22', 'Alemania', 'F', 'CONCACAF');
INSERT INTO equipo VALUES('23', 'Brasil', 'F', 'UEFA');
INSERT INTO equipo VALUES('24', 'Canadá', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('25', 'Uruguay', 'G', 'CONMEBOL');
INSERT INTO equipo VALUES('26', 'Nigeria', 'G', 'CAF');
INSERT INTO equipo VALUES('27', 'Suecia', 'G', 'UEFA');
INSERT INTO equipo VALUES('28', 'Irlanda', 'H', 'UEFA');
INSERT INTO equipo VALUES('29', 'Perú', 'H', 'CONCACAF');
INSERT INTO equipo VALUES('30', 'Noruega', 'H', 'UEFA');
INSERT INTO equipo VALUES('31', 'Países Bajos', 'H', 'CAF');
